,MANHATTAN,MONTH,NYC,PERCENTAGE
0,3178,1,18101,0.17557041047455943
1,3195,2,15985,0.19987488270253362
2,3479,3,18471,0.18834930431487196
3,3540,4,18331,0.19311548742567236
4,3432,5,20052,0.17115499700777978
5,2956,6,19433,0.15211238614727526
6,3055,7,19867,0.15377258770825994
7,2844,8,19678,0.14452688281329404
8,2744,9,19492,0.14077570285245228
9,2831,10,19666,0.14395403234007934
10,2838,11,19315,0.14693243593062386
11,2634,12,19214,0.13708754033517226
